,year,month,No. Stations
0,2015,5,23.0
1,2015,6,22.0
2,2015,7,23.0
3,2015,8,24.0
4,2015,9,24.0
5,2015,10,25.0
6,2015,11,27.0
7,2015,12,31.0
8,2016,1,32.0
9,2016,2,33.0
10,2016,3,30.0
11,2016,4,35.0
12,2016,5,29.0
13,2016,6,33.0
14,2016,7,32.0
15,2016,8,37.0
16,2016,9,40.0
17,2016,10,45.0
18,2016,11,50.0
19,2016,12,53.0
20,2017,1,48.0
21,2017,2,50.0
22,2017,3,55.0
23,2017,4,52.0
24,2017,5,56.0
25,2017,6,58.0
26,2017,7,58.0
27,2017,8,56.0
28,2017,9,68.0
29,2017,10,72.0
30,2017,11,79.0
31,2017,12,80.0
32,2018,1,84.0
33,2018,2,89.0
34,2018,3,102.0
35,2018,4,98.0
36,2018,5,102.0
37,2018,6,106.0
38,2018,7,115.0
39,2018,8,120.0
40,2018,9,119.0
41,2018,10,127.0
42,2018,11,127.0
43,2018,12,129.0
44,2019,1,138.0
45,2019,2,153.0
46,2019,3,154.0
47,2019,4,154.0
48,2019,5,152.0
49,2019,6,165.0
50,2019,7,171.0
51,2019,8,172.0
52,2019,9,177.0
53,2019,10,188.0
54,2019,11,186.0
55,2019,12,184.0
56,2020,1,188.0
57,2020,2,200.0
58,2020,3,205.0
59,2020,4,192.0
60,2020,5,191.0
61,2020,6,198.0
62,2020,7,197.0
63,2020,8,196.0
64,2020,9,203.0
65,2020,10,212.0
66,2020,11,237.0
67,2020,12,238.0
68,2021,1,240.0
69,2021,2,249.0
70,2021,3,246.0
71,2021,4,240.0
72,2021,5,234.0
73,2021,6,262.0
74,2021,7,263.0
75,2021,8,274.0
76,2021,9,275.0
77,2021,10,269.0
78,2021,11,294.0
79,2021,12,300.0
80,2022,1,293.0
81,2022,2,303.0
82,2022,3,302.0
83,2022,4,296.0
84,2022,5,294.0
85,2022,6,308.0
86,2022,7,288.0
87,2022,8,302.0
88,2022,9,306.0
89,2022,10,328.0
90,2022,11,331.0
91,2022,12,338.0
92,2023,1,362.0
93,2023,2,375.0
94,2023,3,399.0
95,2023,4,392.0
96,2023,5,386.0
97,2023,6,411.0
98,2023,7,419.0
99,2023,8,419.0
100,2023,9,427.0
101,2023,10,441.0
102,2023,11,460.0
103,2023,12,469.0
