year,month,City
2015,5,11
2015,6,11
2015,7,11
2015,8,14
2015,9,16
2015,10,16
2015,11,16
2015,12,21
2016,1,23
2016,2,23
2016,3,23
2016,4,24
2016,5,24
2016,6,24
2016,7,29
2016,8,29
2016,9,32
2016,10,33
2016,11,33
2016,12,33
2017,1,33
2017,2,33
2017,3,35
2017,4,35
2017,5,39
2017,6,39
2017,7,40
2017,8,38
2017,9,40
2017,10,45
2017,11,50
2017,12,51
2018,1,53
2018,2,62
2018,3,61
2018,4,63
2018,5,65
2018,6,67
2018,7,69
2018,8,71
2018,9,70
2018,10,72
2018,11,72
2018,12,74
2019,1,90
2019,2,99
2019,3,101
2019,4,99
2019,5,102
2019,6,102
2019,7,104
2019,8,103
2019,9,110
2019,10,114
2019,11,110
2019,12,109
2020,1,112
2020,2,119
2020,3,120
2020,4,120
2020,5,123
2020,6,124
2020,7,123
2020,8,123
2020,9,124
2020,10,125
2020,11,131
2020,12,135
2021,1,140
2021,2,144
2021,3,146
2021,4,144
2021,5,144
2021,6,142
2021,7,152
2021,8,152
2021,9,149
2021,10,148
2021,11,166
2021,12,170
2022,1,170
2022,2,170
2022,3,171
2022,4,173
2022,5,177
2022,6,178
2022,7,176
2022,8,184
2022,9,189
2022,10,194
2022,11,203
2022,12,203
2023,1,207
2023,2,212
2023,3,238
2023,4,235
2023,5,240
2023,6,252
2023,7,254
2023,8,253
2023,9,255
2023,10,256
2023,11,263
2023,12,266
